role,company,years_of_exp,city,country,gender,currency,salary,mode,period,compensation,verified
Backend Developer,Purchase to unlock 👆,4,Jakarta,ID,Prefer not to tell,IDR,20500000,Net,Monthly,"wallet, insurance",
Backend Engineer,Shopee,5,Jakarta,ID,Male,IDR,35000000,Gross,Monthly,"shopeepay , insurance, free lunch",
Senior Data Engineer,Tokopedia,1,Jakarta,ID,Male,IDR,23000000,Gross,Monthly,"GoPay, Inpatient (Private Insurance), Outpatient (Company), Marriage Allowance, Death Allowance, Birth Allowance",
DevOps Engineer,Purchase to unlock 👆,7,Jakarta,ID,Prefer not to tell,IDR,37000000,Net,Monthly,RSU,
Data Engineer,Purchase to unlock 👆,2,Tangerang Selatan,ID,Male,IDR,18400000,Gross,Monthly,Stock,
Data Engineer,Purchase to unlock 👆,2,Tangerang Selatan,ID,Male,IDR,18400000,Gross,Monthly,"Stock options, health insurance",Verified
Data analyst,Purchase to unlock 👆,3,Jakarta,ID,Prefer not to tell,IDR,25000000,Gross,Monthly,,
Data analyst,Purchase to unlock 👆,3,Jakarta,ID,Prefer not to tell,IDR,25000000,Gross,Monthly,,
Data Engineer,Purchase to unlock 👆,3,Jakarta,ID,Male,IDR,13000000,Gross,Monthly,BPJS,Verified
Data Analyst,Purchase to unlock 👆,2,Jakarta,ID,Male,IDR,10000000,Net,Monthly,,
Senior Software Engineer,Tokopedia,7,Depok,ID,Prefer not to tell,IDR,28000000,Gross,Monthly,,
Mathematic Teacher,Purchase to unlock 👆,3,Jakarta,ID,Male,IDR,4200000,Gross,Monthly,,
Senior Associate,Purchase to unlock 👆,3,Jakarta,ID,Prefer not to tell,IDR,18500000,Gross,Monthly,,
Senior Business Analyst,Purchase to unlock 👆,5,Jakarta,ID,Prefer not to tell,IDR,25000000,Net,Monthly,,
backend engineer,Purchase to unlock 👆,3,Malang,ID,Male,USD,3800,Net,Monthly,,Verified
Product Manager,Purchase to unlock 👆,2,Jakarta,ID,Male,IDR,9000000,Gross,Monthly,,
Senior DevOps Engineer,Purchase to unlock 👆,5,Jakarta,ID,Male,IDR,37000000,Net,Monthly,RSU,
Software Engineer Intern,Purchase to unlock 👆,0,Kuningan,ID,Male,IDR,3000000,Net,Monthly,,
Data Engineer Intern,Traveloka,0,Bandung,ID,Male,IDR,7000000,Net,Monthly,,
Front end engineer,Purchase to unlock 👆,4,Jakarta,ID,Male,IDR,20400000,Net,Monthly,,
UX Designer,Purchase to unlock 👆,2,Jakarta,ID,Male,IDR,11000000,Net,Monthly,-,
Front End Developer,Purchase to unlock 👆,2,Kendari,ID,Prefer not to tell,IDR,10000000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,3,Remote,ID,Prefer not to tell,IDR,8000000,Net,Monthly,,
UX Writer,Purchase to unlock 👆,3,jakarta,ID,Prefer not to tell,IDR,18800000,Gross,Monthly,internet 400.000,
Software Engineer Web Platform,Tokopedia,3,Jakarta,ID,Male,IDR,13000000,Gross,Monthly,,
Lead Software Engineer,Bukalapak,3,Jakarta,ID,Female,IDR,25000000,Net,Monthly,- Insurance,
QA Engineer,Purchase to unlock 👆,2,Yogyakarta,ID,Male,IDR,7400000,Net,Monthly,None,Verified
Lead Software Engineer,Purchase to unlock 👆,6,Jakarta,ID,Male,IDR,52000000,Gross,Monthly,"Stock Options, private insurance, BPJS",
Backend Engineer,Purchase to unlock 👆,2,Jakarta,ID,Prefer not to tell,IDR,9500000,Gross,Monthly,,
UX Researcher,Purchase to unlock 👆,0,Jakarta,ID,Prefer not to tell,IDR,16000000,Net,Monthly,"BPJS Kesehatan, BPJS Ketenagakerjaan",
Associate Software Developer,Purchase to unlock 👆,1,Remote,ID,Male,IDR,7500000,Net,Monthly,"Pajak, BPJS",
UI Designer,Purchase to unlock 👆,1,Bekasi,ID,Prefer not to tell,IDR,6500000,Gross,Monthly,,
UI Designer,Purchase to unlock 👆,1,Jakarta,ID,Prefer not to tell,IDR,6500000,Gross,Monthly,,
Senior Data Engineer,Purchase to unlock 👆,5,Jakarta,ID,Male,IDR,21000000,Net,Monthly,"Tax Benefit, Private Health Insurance",
Backend Engineer,Purchase to unlock 👆,4,Medan,ID,Male,IDR,6000000,Net,Monthly,,
Senior Business Analyst,Purchase to unlock 👆,4,Jakarta,ID,Male,IDR,12000000,Gross,Monthly,,
Data engineer,Purchase to unlock 👆,2,Tangerang Selatan,ID,Male,IDR,12000000,Gross,Monthly,,
Head of Data and Analytics,Purchase to unlock 👆,7,Jakarta,ID,Male,IDR,33000000,Net,Monthly,"stock options, yearly bonus, medical insurance, medical reimbursement, digital wallet cash",Verified
Senior UI/UX Research,Purchase to unlock 👆,5,Jakarta,ID,Female,IDR,18700000,Net,Monthly,,Verified
Chief Technology Officer,Purchase to unlock 👆,10,Jakarta,ID,Male,IDR,69000000,Gross,Monthly,,Verified
Lead Engineering,Purchase to unlock 👆,7,Jakarta,ID,Male,IDR,21000000,Gross,Monthly,"stock options, yearly bonus, private health insurance, medical reimbursement, digital wallet cash",Verified
Lead QA,Purchase to unlock 👆,7,Jakarta,ID,Male,IDR,19000000,Gross,Monthly,"stock options, yearly bonus, private health insurance, medical reimbursement, digital wallet cash",Verified
Lead Digital Marketing,Purchase to unlock 👆,5,Jakarta,ID,Female,IDR,17000000,Gross,Monthly,"stock options, yearly bonus, private health insurance, medical reimbursement, digital wallet cash",Verified
Lead Business Sales,Purchase to unlock 👆,7,Jakarta,ID,Female,IDR,24000000,Gross,Monthly,"stock options, yearly bonus, private health insurance, medical reimbursement, digital wallet cash",Verified
Lead Backend Engineer,Purchase to unlock 👆,5,Jakarta,ID,Male,IDR,18000000,Gross,Monthly,"stock options, yearly bonus, private health insurance, medical reimbursement, digital wallet cash",Verified
System Analyst,Purchase to unlock 👆,0,Malang,ID,Prefer not to tell,IDR,4000000,Gross,Monthly,,
System Analyst,Purchase to unlock 👆,0,Malang,ID,Prefer not to tell,IDR,4000000,Net,Monthly,,
Wartawan Lokal Tangerang,Purchase to unlock 👆,1,Tangerang,ID,Male,IDR,1500000,Gross,Monthly,,
Junior Android Developer,Purchase to unlock 👆,4,Bandung,ID,Male,IDR,14000000,Net,Monthly,,
Back-End Engineer,Purchase to unlock 👆,0,Jakarta,ID,Male,IDR,6600000,Net,Monthly,,
Backend Engineer,Purchase to unlock 👆,0,Yogyakarta,ID,Prefer not to tell,IDR,5000000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,1,Jakarta,ID,Male,IDR,7000000,Gross,Monthly,,
Software Engineer Backend,Purchase to unlock 👆,6,Surabaya,ID,Prefer not to tell,IDR,13000000,Gross,Monthly,,
fullstack developer,Purchase to unlock 👆,3,jakarta,ID,Male,IDR,6500000,Net,Monthly,,
React Native Developer,Purchase to unlock 👆,1,Depok,ID,Male,IDR,6500000,Gross,Monthly,,
ABAPER,Purchase to unlock 👆,20,Jakarta,ID,Prefer not to tell,IDR,25000000,Gross,Monthly,,
ABAPER,Purchase to unlock 👆,20,Jakarta,ID,Prefer not to tell,IDR,25000000,Gross,Monthly,,
Software Development Engineer,Purchase to unlock 👆,2,Jakarta,ID,Male,IDR,11000000,Net,Monthly,Blipay 500k,Verified
fullstack developer,Purchase to unlock 👆,3,jakarta,ID,Prefer not to tell,IDR,5500000,Gross,Monthly,,Verified
Backend Developer,Purchase to unlock 👆,1,Yogyakarta,ID,Prefer not to tell,IDR,7000000,Gross,Monthly,,
Web Developer,Purchase to unlock 👆,1,Lampung,ID,Male,IDR,4000000,Net,Monthly,,
Backend Engineer,Purchase to unlock 👆,2,Jakarta,ID,Male,IDR,12300000,Net,Monthly,,
frontend engineer,Purchase to unlock 👆,3,Yogyakarta,ID,Male,IDR,14000000,Net,Monthly,Medical insurance,
Software Engineer,Purchase to unlock 👆,1,Bogor,ID,Male,IDR,19000000,Gross,Monthly,,
Back End Developer,Purchase to unlock 👆,2,Bekasi,ID,Male,IDR,6000000,Net,Monthly,,
Frontend Developer,Purchase to unlock 👆,1,Jakarta,ID,Male,IDR,7000000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,1,Bekasi,ID,Male,IDR,8000000,Gross,Monthly,,
Soa Developer Junior,Purchase to unlock 👆,1,Semarang,ID,Male,IDR,4300000,Gross,Monthly,,
Backend Web Developer,Purchase to unlock 👆,1,Yogyakarta,ID,Prefer not to tell,IDR,2500000,Gross,Monthly,,
Back-end Developer,Purchase to unlock 👆,3,Jakarta,ID,Male,IDR,10700000,Gross,Monthly,"BPJS Kesehatan, BPJS Ketenagakerjaan",
Backend Engineer,Purchase to unlock 👆,3,Jakarta,ID,Male,IDR,9000000,Gross,Monthly,,
Software Enginering,Purchase to unlock 👆,0,Jakarta,ID,Male,IDR,12000000,Gross,Monthly,total salary include DANA Balance,Verified
Junior Frontend Engineer,Purchase to unlock 👆,1,Tangerang,ID,Prefer not to tell,IDR,10300000,Net,Monthly,,
Backend Developer,Purchase to unlock 👆,3,Batu,ID,Male,IDR,10000000,Gross,Monthly,,
Technical Consultant,Purchase to unlock 👆,2,jakarta,ID,Male,IDR,3000000,Gross,Monthly,reimbusment for overtime,
Data Engineer,Purchase to unlock 👆,3,Tasikmalaya,ID,Male,IDR,15180000,Gross,Monthly,,
Android Engineer,Purchase to unlock 👆,2,Jakarta,ID,Male,IDR,10500000,Net,Monthly,,
Backend Engineer,Purchase to unlock 👆,5,Bandung,ID,Male,IDR,6000000,Net,Monthly,BPJS TK,
Software Engineer,Purchase to unlock 👆,0,Yogyakarta,ID,Male,IDR,7000000,Gross,Monthly,,Verified
Mobile Engineer,Purchase to unlock 👆,2,Yogyakarta,ID,Male,IDR,10100000,Net,Monthly,,Verified
Software Engineer Intern,Tokopedia,1,Jogjakarta,ID,Prefer not to tell,IDR,7000000,Gross,Monthly,,
Application Developer,Purchase to unlock 👆,3,Jakarta,ID,Male,IDR,8800000,Gross,Monthly,,
Junior Backend Engineer,Purchase to unlock 👆,1,Semarang,ID,Prefer not to tell,IDR,4500000,Net,Monthly,,
Lead UI/UX Designer,Purchase to unlock 👆,1,Purbalingga,ID,Male,IDR,3000000,Net,Monthly,,
Product Engineer,Purchase to unlock 👆,2,Semarang,ID,Male,IDR,7500000,Net,Monthly,,
Quality Assurance,Purchase to unlock 👆,0,Langkat,ID,Male,IDR,4000000,Gross,Monthly,,
Product Engineer,Purchase to unlock 👆,2,Semarang,ID,Male,IDR,7500000,Net,Monthly,,
System Administrator,Purchase to unlock 👆,2,Jakarta,ID,Prefer not to tell,IDR,5000000,Net,Monthly,1x Bonus,
IT Developer (Backend Engineer),Purchase to unlock 👆,2,Jakarta,ID,Male,IDR,12223500,Gross,Monthly,"Mcbook Pro 2019, Gym member, BPJS, Peformance Bonus (2x), THR(1x), Full WFH, Health Insurance",
IT Developer (Backend Engineer),Purchase to unlock 👆,2,Jakarta,ID,Male,IDR,12223500,Gross,Monthly,"Mcbook Pro 2019, Gym member, BPJS, Peformance Bonus (2x), THR(1x), Full WFH, Health Insurance",
IT Developer (Backend Engineer),Purchase to unlock 👆,2,Jakarta,ID,Male,IDR,12223500,Gross,Monthly,"Mcbook Pro 2019, Gym member, BPJS, Peformance Bonus (2x), THR(1x), Full WFH, Health Insurance",Verified
Project Manager,Purchase to unlock 👆,1,Yogyakarta,ID,Male,IDR,18000000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,4,Lampung,ID,Male,IDR,4700000,Gross,Monthly,,
Flutter engineer,Purchase to unlock 👆,2,Tangerang,ID,Male,IDR,6000000,Net,Monthly,"BPJS Kesehatan, Manulife Private Insurance",
Flutter engineer,Purchase to unlock 👆,2,Tangerang,ID,Male,IDR,6000000,Net,Monthly,"BPJS Kesehatan, Manulife Private Insurance",
Data Scientist Intern,Purchase to unlock 👆,0,Bandung,ID,Prefer not to tell,IDR,1650000,Net,Monthly,,
Software Engineer in QA (QA Automation),Purchase to unlock 👆,0,Jakarta,ID,Male,IDR,10000000,Net,Monthly,Medical Coverage - Rawat inap Up to 800.000 / hari (Anak + Pasangan) - Maternity Allowance Up to 13 jt - Medicine reimbursement - Glasses Reimbursement,
IOS Engineer Intern,Purchase to unlock 👆,0,Duri,ID,Male,IDR,3000000,Net,Monthly,,
Frontend Developer,Purchase to unlock 👆,1,Malang,ID,Prefer not to tell,IDR,4000000,Net,Monthly,,
Backend Engineer,Purchase to unlock 👆,2,Jakarta,ID,Male,IDR,14000000,Gross,Monthly,,
SDE-1,Purchase to unlock 👆,6,Semarang,ID,Male,IDR,42500000,Net,Monthly,"Asuransi, THR",Verified
System Developer,Purchase to unlock 👆,3,Jakarta,ID,Male,IDR,6000000,Net,Monthly,,Verified
Junior Java Developer,Purchase to unlock 👆,1,Yogyakarta,ID,Male,IDR,5000000,Gross,Monthly,,
Backend Engineer,Purchase to unlock 👆,2,Jakarta,ID,Male,IDR,24500000,Gross,Monthly,RSU 11k USD/4yrs,
Software Engineer,Purchase to unlock 👆,10,jakarta,ID,Prefer not to tell,IDR,36000000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,10,jakarta,ID,Prefer not to tell,IDR,36000000,Gross,Monthly,,
Software Engineer (Backend Engineer),Purchase to unlock 👆,0,Surabaya,ID,Prefer not to tell,IDR,5250000,Gross,Monthly,"Free lunch, Health Insurance",
Software Engineer,Purchase to unlock 👆,2,Bandung,ID,Male,IDR,7000000,Net,Monthly,,
Full Stack Engineer,Purchase to unlock 👆,2,Jakarta,ID,Male,IDR,10610000,Gross,Monthly,,Verified
Mobile Developer,Gojek,1,Bandung,ID,Male,IDR,1000000,Gross,Monthly,,
Principal Engineer,Tokopedia,3,Jakarta,ID,Prefer not to tell,IDR,49000000,Gross,Monthly,"Stock Option, Gopay 2000 K, Marriage Allowance, Full Coverage Private Insurance for Inpatient & Outpatient (1 wife and 2 children), Marriage Allowance",Verified
Principal Engineer,Purchase to unlock 👆,3,Jakarta,ID,Prefer not to tell,IDR,49000000,Gross,Monthly,"Stock Option, Gopay 2000 K, Marriage Allowance, Full Coverage Private Insurance for Inpatient & Outpatient",
Fullstack Web Developer,Purchase to unlock 👆,2,Ngawi,ID,Male,IDR,2500000,Gross,Monthly,None,
Software Engineer,Purchase to unlock 👆,4,Bogor,ID,Male,IDR,25000000,Net,Monthly,Stock options,
Junior Go BackEnd Developer,Purchase to unlock 👆,1,Jakarta,ID,Male,IDR,5750000,Net,Monthly,,
engineering support,Purchase to unlock 👆,5,Tangerang,ID,Prefer not to tell,IDR,4700000,Net,Monthly,,
Frontend dev,Purchase to unlock 👆,1,Yogyakarta,ID,Male,IDR,6290000,Net,Monthly,BPJS Kes & TK,
Associate Product Manager,Purchase to unlock 👆,1,Jakarta,ID,Male,IDR,9000000,Net,Monthly,"Native Token,Insurance,THR",
Frontend Engineer,Purchase to unlock 👆,0,Bogor,ID,Male,IDR,6000000,Gross,Monthly,,
Quality Assurance Engineer,Purchase to unlock 👆,3,Jakarta,ID,Male,IDR,12900000,Net,Monthly,"Private insurance, BPJS, Jamsostek, Parking allowance, sport allowance, annual leave.",
Front end developer,Bukalapak,4,Bandung,ID,Male,IDR,20000000,Net,Monthly,,
Business Analyst,Purchase to unlock 👆,3,Jakarta,ID,Prefer not to tell,IDR,16500000,Gross,Monthly,,
Digital Marketing Intern,Purchase to unlock 👆,0,Jakarta,ID,Male,IDR,3000000,Net,Monthly,,
Operations Supervisor,Gojek,2,Jakarta,ID,Male,IDR,12320000,Gross,Monthly,Family Insurance,
fullstack software developer,Purchase to unlock 👆,0,jakarta,ID,Male,IDR,4000000,Net,Monthly,,
Fullstack Developer,Purchase to unlock 👆,1,Kuala Lumpur,MY,Male,IDR,9000000,Gross,Monthly,,
Mobile Developer,Purchase to unlock 👆,5,BEKASI,ID,Male,IDR,17000000,Gross,Monthly,,
Mobile Developer,Purchase to unlock 👆,5,BEKASI,ID,Male,IDR,17000000,Gross,Monthly,,
Front End Developer,Purchase to unlock 👆,0,Yogyakarta,ID,Male,IDR,4000000,Net,Monthly,"Free lunch, plus religious holiday allowance",
Fullstack Developer,Purchase to unlock 👆,4,Jakarta,ID,Prefer not to tell,IDR,13000000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,4,Jakarta,ID,Prefer not to tell,IDR,16600000,Net,Monthly,"Medical Insurance, eVoucher,",
Frontend Engineer,Purchase to unlock 👆,3,Jakarta,ID,Prefer not to tell,IDR,9500000,Gross,Monthly,Medical insurance,
Data Engineer,Purchase to unlock 👆,2,Mojokerto,ID,Male,IDR,5736000,Net,Monthly,,
Data Engineer,Purchase to unlock 👆,4,Depok,ID,Male,IDR,25000000,Net,Monthly,"Catering, Free Parking, Private Insurance",
Business Analyst,Purchase to unlock 👆,9,Tangerang Selatan,ID,Prefer not to tell,IDR,23000000,Gross,Monthly,"Health insurance, Bonus, THR, Quarterly Incentive",
Corporate Student,Purchase to unlock 👆,0,Stuttgart,DE,Male,EUR,1119,Gross,Monthly,200,
UX Designer,Purchase to unlock 👆,5,Jakarta,ID,Prefer not to tell,IDR,20000000,Net,Monthly,,
Tech lead,Purchase to unlock 👆,4,Jakarta,ID,Prefer not to tell,IDR,23000000,Net,Monthly,,
Backend Engineer,Purchase to unlock 👆,2,Nganjuk,ID,Prefer not to tell,IDR,12000000,Gross,Monthly,,
Frontend Javascript,Purchase to unlock 👆,2,Jakarta,ID,Male,IDR,6500000,Gross,Monthly,,
Senior DevOps Engineer,Purchase to unlock 👆,5,Jakarta,ID,Prefer not to tell,IDR,29800000,Net,Monthly,,
Web Developer,Purchase to unlock 👆,0,Bali,ID,Male,IDR,3000000,Gross,Monthly,0,
Data Engineer,Purchase to unlock 👆,0,Bandung,ID,Prefer not to tell,IDR,6000000,Gross,Monthly,,
Front-End Web Developer,Purchase to unlock 👆,1,Jakarta,ID,Male,IDR,6500000,Net,Monthly,,
Software Engineer (Fullstack),Purchase to unlock 👆,2,Kabupaten Bekasi (Cikarang),ID,Male,IDR,7000000,Gross,Monthly,"Tunjangan Transportasi 297,000. Tunjangan Kehadiran 97,000. Tunjangan Skill 1,000,000. Lembur dibayar. Asuransi Kesehatan diluar BPJS Kesehatan, jika limit habis maka akan direimburse perusahaan 90%. Ada bus jemputan untuk pergi dan pulang. Makan siang di pabrik gratis.",Verified
Data Engineer,Purchase to unlock 👆,1,Bandung,ID,Prefer not to tell,IDR,10500000,Gross,Monthly,BPJS,
Full Stack Developer,Purchase to unlock 👆,1,Jakarta,ID,Male,IDR,8000000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,3,Bogor,ID,Male,IDR,17400000,Gross,Monthly,"Yearly Benefit 7.000.000 include insurance, gyms, bill and internet. Daily allowance 40.000",
software engineer,Purchase to unlock 👆,6,Tangerang,ID,Male,IDR,1500000,Gross,Monthly,,
Backend engineer,Purchase to unlock 👆,2,Nomad,ID,Male,IDR,12000000,Gross,Monthly,"Insurance, work from anywhere",
PHP Programming and wordpress or optional request,Purchase to unlock 👆,2,Bekasi,ID,Male,IDR,8000000,Net,Monthly,,Verified
Mobile Developer,Purchase to unlock 👆,10,Jakarta,ID,Male,IDR,11000000,Net,Monthly,,
Flutter Developer,Purchase to unlock 👆,0,Medan,ID,Male,IDR,3000000,Net,Monthly,,
