role,company,years_of_exp,city,country,gender,currency,salary,mode,period,compensation,verified
UX Writer,Purchase to unlock 👆,2,Jakarta,ID,Prefer not to tell,IDR,15000000,Net,Monthly,8000000,
Copywriter,tokopedia,1,jakarta,ID,Prefer not to tell,IDR,8000000,Gross,Monthly,,
Senior Copywriter,tokopedia,5,jakarta,ID,Prefer not to tell,IDR,15000000,Gross,Monthly,,
Senior UX Researcher,Purchase to unlock 👆,3,jakarta,ID,Prefer not to tell,IDR,15000000,Net,Monthly,,
Associate Product Manager,Purchase to unlock 👆,1,jakarta,ID,Male,IDR,13000000,Net,Monthly,,
Software Engineer,Tokopedia,2,Jakarta,ID,Male,IDR,12325000,Gross,Monthly,"Allowance, Bonus, Stock, Insurance",
Financial Analyst,Purchase to unlock 👆,2,jakarta,ID,Female,IDR,13000000,Net,Monthly,,
Business Analyst,Gojek,2,Jakarta,ID,Female,IDR,11000000,Net,Monthly,Gopay 500k,
UX Writer,Purchase to unlock 👆,1,Jakarta,ID,Prefer not to tell,IDR,14750000,Net,Monthly,,
Financial Planning,Purchase to unlock 👆,3,Jakarta,ID,Female,IDR,26000000,Gross,Monthly,,
Content Specialist,Purchase to unlock 👆,1,Jakarta,ID,Prefer not to tell,IDR,8500000,Gross,Monthly,Insurance; WFH; Transport benefits,
Digital Platform Manager,Purchase to unlock 👆,5,Jakarta,ID,Male,IDR,12000000,Net,Monthly,"Wfh, insurance, reimburse, flexible working time,",
Business Development Project,Purchase to unlock 👆,3,Jakarta,ID,Prefer not to tell,IDR,32000000,Gross,Monthly,,
Research Manager,Gojek,9,Bali,ID,Female,IDR,37000000,Gross,Monthly,,
Product Manager,Purchase to unlock 👆,1,Yogyakarta,ID,Male,IDR,10000000,Net,Monthly,,
Product manager,Purchase to unlock 👆,5,Jakarta,ID,Prefer not to tell,IDR,20000000,Gross,Monthly,,
Quality Assurance,Gojek,2,Jakarta,ID,Male,IDR,8033000,Net,Monthly,,
UX Researcher,Purchase to unlock 👆,3,Jakarta,ID,Male,IDR,12000000,Net,Monthly,,
Business Intelligence Lead,Purchase to unlock 👆,4,Jakarta,ID,Prefer not to tell,IDR,18000000,Net,Monthly,,
Media Planner,Purchase to unlock 👆,5,Jakarta,ID,Male,IDR,15000000,Net,Monthly,,
Office Boy,Purchase to unlock 👆,2,Jakarta,ID,Prefer not to tell,IDR,40000000,Net,Monthly,,
Account Support Specialist,Purchase to unlock 👆,1,Sukabumi,ID,Female,IDR,5300000,Gross,Monthly,,
Senior Project Manager,Purchase to unlock 👆,5,Jakarta,ID,Prefer not to tell,IDR,30000000,Gross,Monthly,RSU worth 8000 usd,
Senior Project Manager,Purchase to unlock 👆,5,Jakarta,ID,Prefer not to tell,IDR,30000000,Gross,Monthly,RSU worth 8000 usd,
